Disease,Symptom,Symptom_Severity,Location,Season
Fungal infection,itching,1.0,All,monsoon
Fungal infection,skin_rash,3.0,All,monsoon
Fungal infection,itching,1.0,All,monsoon
Fungal infection,itching,1.0,All,monsoon
Fungal infection,itching,1.0,All,monsoon
Fungal infection,skin_rash,3.0,All,monsoon
Fungal infection,itching,1.0,All,monsoon
Fungal infection,itching,1.0,All,monsoon
Fungal infection,itching,1.0,All,monsoon
Fungal infection,itching,1.0,All,monsoon
Allergy,continuous_sneezing,4.0,All,"fall, rainy, spring, summer"
Allergy,shivering,5.0,All,"fall, rainy, spring, summer"
Allergy,continuous_sneezing,4.0,All,"fall, rainy, spring, summer"
Allergy,continuous_sneezing,4.0,All,"fall, rainy, spring, summer"
Allergy,continuous_sneezing,4.0,All,"fall, rainy, spring, summer"
Allergy,shivering,5.0,All,"fall, rainy, spring, summer"
Allergy,continuous_sneezing,4.0,All,"fall, rainy, spring, summer"
Allergy,continuous_sneezing,4.0,All,"fall, rainy, spring, summer"
Allergy,continuous_sneezing,4.0,All,"fall, rainy, spring, summer"
Allergy,continuous_sneezing,4.0,All,"fall, rainy, spring, summer"
GERD,stomach_pain,5.0,All,winter
GERD,stomach_pain,5.0,All,winter
GERD,stomach_pain,5.0,All,winter
GERD,stomach_pain,5.0,All,winter
GERD,stomach_pain,5.0,All,winter
GERD,stomach_pain,5.0,All,winter
GERD,acidity,3.0,All,winter
GERD,stomach_pain,5.0,All,winter
GERD,stomach_pain,5.0,All,winter
GERD,stomach_pain,5.0,All,winter
Chronic cholestasis,itching,1.0,All,All
Chronic cholestasis,vomiting,5.0,All,All
Chronic cholestasis,itching,1.0,All,All
Chronic cholestasis,itching,1.0,All,All
Chronic cholestasis,itching,1.0,All,All
Chronic cholestasis,itching,1.0,All,All
Chronic cholestasis,itching,1.0,All,All
Chronic cholestasis,itching,1.0,All,All
Chronic cholestasis,itching,1.0,All,All
Chronic cholestasis,itching,1.0,All,All
Drug Reaction,itching,1.0,All,All
Drug Reaction,itching,1.0,All,All
Drug Reaction,itching,1.0,All,All
Drug Reaction,itching,1.0,All,All
Drug Reaction,itching,1.0,All,All
Drug Reaction,skin_rash,3.0,All,All
Drug Reaction,itching,1.0,All,All
Drug Reaction,itching,1.0,All,All
Drug Reaction,itching,1.0,All,All
Drug Reaction,itching,1.0,All,All
Peptic ulcer diseae,vomiting,5.0,All,All
Peptic ulcer diseae,vomiting,5.0,All,All
Peptic ulcer diseae,indigestion,5.0,All,All
Peptic ulcer diseae,vomiting,5.0,All,All
Peptic ulcer diseae,vomiting,5.0,All,All
Peptic ulcer diseae,vomiting,5.0,All,All
Peptic ulcer diseae,vomiting,5.0,All,All
Peptic ulcer diseae,vomiting,5.0,All,All
Peptic ulcer diseae,vomiting,5.0,All,All
Peptic ulcer diseae,vomiting,5.0,All,All
AIDS,muscle_wasting,3.0,"Andhra Pradesh, Bihar, Gujarat, Karnataka, Maharashtra, Mizoram, Tamil Nadu, Uttar Pradesh, West Bengal",All
AIDS,patches_in_throat,6.0,"Andhra Pradesh, Bihar, Gujarat, Karnataka, Maharashtra, Mizoram, Tamil Nadu, Uttar Pradesh, West Bengal",All
AIDS,muscle_wasting,3.0,"Andhra Pradesh, Bihar, Gujarat, Karnataka, Maharashtra, Mizoram, Tamil Nadu, Uttar Pradesh, West Bengal",All
AIDS,muscle_wasting,3.0,"Andhra Pradesh, Bihar, Gujarat, Karnataka, Maharashtra, Mizoram, Tamil Nadu, Uttar Pradesh, West Bengal",All
AIDS,muscle_wasting,3.0,"Andhra Pradesh, Bihar, Gujarat, Karnataka, Maharashtra, Mizoram, Tamil Nadu, Uttar Pradesh, West Bengal",All
AIDS,muscle_wasting,3.0,"Andhra Pradesh, Bihar, Gujarat, Karnataka, Maharashtra, Mizoram, Tamil Nadu, Uttar Pradesh, West Bengal",All
AIDS,muscle_wasting,3.0,"Andhra Pradesh, Bihar, Gujarat, Karnataka, Maharashtra, Mizoram, Tamil Nadu, Uttar Pradesh, West Bengal",All
AIDS,patches_in_throat,6.0,"Andhra Pradesh, Bihar, Gujarat, Karnataka, Maharashtra, Mizoram, Tamil Nadu, Uttar Pradesh, West Bengal",All
AIDS,muscle_wasting,3.0,"Andhra Pradesh, Bihar, Gujarat, Karnataka, Maharashtra, Mizoram, Tamil Nadu, Uttar Pradesh, West Bengal",All
AIDS,muscle_wasting,3.0,"Andhra Pradesh, Bihar, Gujarat, Karnataka, Maharashtra, Mizoram, Tamil Nadu, Uttar Pradesh, West Bengal",All
Diabetes ,fatigue,4.0,,
Diabetes ,fatigue,4.0,,
Diabetes ,weight_loss,3.0,,
Diabetes ,fatigue,4.0,,
Diabetes ,fatigue,4.0,,
Diabetes ,fatigue,4.0,,
Diabetes ,fatigue,4.0,,
Diabetes ,fatigue,4.0,,
Diabetes ,fatigue,4.0,,
Diabetes ,fatigue,4.0,,
Gastroenteritis,vomiting,5.0,All,winter
Gastroenteritis,vomiting,5.0,All,winter
Gastroenteritis,sunken_eyes,3.0,All,winter
Gastroenteritis,vomiting,5.0,All,winter
Gastroenteritis,vomiting,5.0,All,winter
Gastroenteritis,vomiting,5.0,All,winter
Gastroenteritis,vomiting,5.0,All,winter
Gastroenteritis,sunken_eyes,3.0,All,winter
Gastroenteritis,vomiting,5.0,All,winter
Gastroenteritis,vomiting,5.0,All,winter
Bronchial Asthma,fatigue,4.0,All,"spring, summer, winter"
Bronchial Asthma,cough,4.0,All,"spring, summer, winter"
Bronchial Asthma,fatigue,4.0,All,"spring, summer, winter"
Bronchial Asthma,fatigue,4.0,All,"spring, summer, winter"
Bronchial Asthma,fatigue,4.0,All,"spring, summer, winter"
Bronchial Asthma,fatigue,4.0,All,"spring, summer, winter"
Bronchial Asthma,fatigue,4.0,All,"spring, summer, winter"
Bronchial Asthma,fatigue,4.0,All,"spring, summer, winter"
Bronchial Asthma,cough,4.0,All,"spring, summer, winter"
Bronchial Asthma,fatigue,4.0,All,"spring, summer, winter"
Hypertension ,headache,3.0,,
Hypertension ,chest_pain,7.0,,
Hypertension ,headache,3.0,,
Hypertension ,headache,3.0,,
Hypertension ,headache,3.0,,
Hypertension ,headache,3.0,,
Hypertension ,headache,3.0,,
Hypertension ,chest_pain,7.0,,
Hypertension ,headache,3.0,,
Hypertension ,headache,3.0,,
Migraine,acidity,3.0,All,All
Migraine,indigestion,5.0,All,All
Migraine,acidity,3.0,All,All
Migraine,acidity,3.0,All,All
Migraine,acidity,3.0,All,All
Migraine,acidity,3.0,All,All
Migraine,acidity,3.0,All,All
Migraine,acidity,3.0,All,All
Migraine,acidity,3.0,All,All
Migraine,acidity,3.0,All,All
Cervical spondylosis,back_pain,3.0,All,All
Cervical spondylosis,back_pain,3.0,All,All
Cervical spondylosis,weakness_in_limbs,7.0,All,All
Cervical spondylosis,back_pain,3.0,All,All
Cervical spondylosis,back_pain,3.0,All,All
Cervical spondylosis,back_pain,3.0,All,All
